Container contains 1674 elements.
1: This is a plane. Speed: 51, distance to destination: 1912.000000, time to distance: 37.490196, maximum flight distance: 3918, capacity: 173
362: This is a plane. Speed: 9, distance to destination: 437.000000, time to distance: 48.555556, maximum flight distance: 2367, capacity: 254
363: This is a plane. Speed: 35, distance to destination: 1485.000000, time to distance: 42.428571, maximum flight distance: 2620, capacity: 176
364: 365: This is a ship. Speed: 11, distance to destination: 1169.000000, time to distance: 106.272727, ship type: tugboat, displacement: 9843
366: This is a ship. Speed: 11, distance to destination: 718.000000, time to distance: 65.272727, ship type: liner, displacement: 19319
367: 368: This is a ship. Speed: 41, distance to destination: 1998.000000, time to distance: 48.731707, ship type: liner, displacement: 23270
369: This is a ship. Speed: 3, distance to destination: 569.000000, time to distance: 189.666667, ship type: tanker, displacement: 29775
370: 371: This is a ship. Speed: 2, distance to destination: 699.000000, time to distance: 349.500000, ship type: tanker, displacement: 16878
372: This is a plane. Speed: 52, distance to destination: 1837.000000, time to distance: 35.326923, maximum flight distance: 3646, capacity: 172
373: 374: 375: This is a plane. Speed: 4, distance to destination: 1713.000000, time to distance: 428.250000, maximum flight distance: 2086, capacity: 164
376: This is a plane. Speed: 19, distance to destination: 858.000000, time to distance: 45.157895, maximum flight distance: 2994, capacity: 220
377: 378: This is a plane. Speed: 29, distance to destination: 1596.000000, time to distance: 55.034483, maximum flight distance: 3775, capacity: 200
379: 380: This is a plane. Speed: 2, distance to destination: 623.000000, time to distance: 311.500000, maximum flight distance: 3922, capacity: 298
381: 382: This is a plane. Speed: 35, distance to destination: 1428.000000, time to distance: 40.800000, maximum flight distance: 2324, capacity: 111
383: 384: This is a ship. Speed: 31, distance to destination: 924.000000, time to distance: 29.806452, ship type: liner, displacement: 27748
385: This is a ship. Speed: 44, distance to destination: 1973.000000, time to distance: 44.840909, ship type: liner, displacement: 27369
386: This is a ship. Speed: 23, distance to destination: 1398.000000, time to distance: 60.782609, ship type: tanker, displacement: 7857
387: This is a plane. Speed: 4, distance to destination: 1323.000000, time to distance: 330.750000, maximum flight distance: 2717, capacity: 122
388: 389: This is a plane. Speed: 6, distance to destination: 1628.000000, time to distance: 271.333333, maximum flight distance: 3193, capacity: 228
390: 391: This is a ship. Speed: 12, distance to destination: 1062.000000, time to distance: 88.500000, ship type: tanker, displacement: 32740
392: This is a ship. Speed: 16, distance to destination: 772.000000, time to distance: 48.250000, ship type: tanker, displacement: 1656
393: 394: 395: This is a ship. Speed: 10, distance to destination: 1223.000000, time to distance: 122.300000, ship type: tanker, displacement: 10139
396: 397: This is a ship. Speed: 9, distance to destination: 608.000000, time to distance: 67.555556, ship type: tugboat, displacement: 5486
398: This is a plane. Speed: 30, distance to destination: 1247.000000, time to distance: 41.566667, maximum flight distance: 2560, capacity: 233
399: This is a plane. Speed: 14, distance to destination: 1314.000000, time to distance: 93.857143, maximum flight distance: 2845, capacity: 133
400: 401: This is a plane. Speed: 19, distance to destination: 851.000000, time to distance: 44.789474, maximum flight distance: 2519, capacity: 154
402: 403: 404: This is a plane. Speed: 56, distance to destination: 1971.000000, time to distance: 35.196429, maximum flight distance: 2059, capacity: 180
405: 406: 407: 408: This is a plane. Speed: 1, distance to destination: 654.000000, time to distance: 654.000000, maximum flight distance: 3510, capacity: 169
409: This is a plane. Speed: 19, distance to destination: 747.000000, time to distance: 39.315789, maximum flight distance: 2896, capacity: 154
410: This is a ship. Speed: 46, distance to destination: 1831.000000, time to distance: 39.804348, ship type: tugboat, displacement: 17435
411: 412: This is a ship. Speed: 55, distance to destination: 1908.000000, time to distance: 34.690909, ship type: liner, displacement: 15445
413: This is a plane. Speed: 16, distance to destination: 1347.000000, time to distance: 84.187500, maximum flight distance: 3985, capacity: 165
414: 415: This is a ship. Speed: 21, distance to destination: 1341.000000, time to distance: 63.857143, ship type: liner, displacement: 32226
416: This is a ship. Speed: 24, distance to destination: 1783.000000, time to distance: 74.291667, ship type: tanker, displacement: 5476
417: 418: This is a plane. Speed: 43, distance to destination: 1382.000000, time to distance: 32.139535, maximum flight distance: 3544, capacity: 254
419: This is a plane. Speed: 36, distance to destination: 1651.000000, time to distance: 45.861111, maximum flight distance: 3659, capacity: 249
420: This is a plane. Speed: 30, distance to destination: 1759.000000, time to distance: 58.633333, maximum flight distance: 3329, capacity: 149
421: 422: 423: 424: This is a plane. Speed: 37, distance to destination: 1548.000000, time to distance: 41.837838, maximum flight distance: 3879, capacity: 271
425: This is a plane. Speed: 19, distance to destination: 1290.000000, time to distance: 67.894737, maximum flight distance: 2028, capacity: 167
426: This is a ship. Speed: 2, distance to destination: 944.000000, time to distance: 472.000000, ship type: liner, displacement: 16920
427: 428: This is a plane. Speed: 27, distance to destination: 1640.000000, time to distance: 60.740741, maximum flight distance: 2993, capacity: 184
429: 430: 431: 432: This is a ship. Speed: 43, distance to destination: 1403.000000, time to distance: 32.627907, ship type: tugboat, displacement: 11009
433: This is a plane. Speed: 34, distance to destination: 1616.000000, time to distance: 47.529412, maximum flight distance: 2695, capacity: 274
434: This is a plane. Speed: 50, distance to destination: 1687.000000, time to distance: 33.740000, maximum flight distance: 3581, capacity: 119
435: This is a ship. Speed: 55, distance to destination: 1911.000000, time to distance: 34.745455, ship type: tugboat, displacement: 22596
436: This is a plane. Speed: 9, distance to destination: 473.000000, time to distance: 52.555556, maximum flight distance: 2582, capacity: 205
437: This is a plane. Speed: 15, distance to destination: 841.000000, time to distance: 56.066667, maximum flight distance: 3847, capacity: 247
438: This is a ship. Speed: 10, distance to destination: 1694.000000, time to distance: 169.400000, ship type: tanker, displacement: 33427
439: This is a plane. Speed: 44, distance to destination: 1977.000000, time to distance: 44.931818, maximum flight distance: 2907, capacity: 300
440: 441: This is a ship. Speed: 35, distance to destination: 1322.000000, time to distance: 37.771429, ship type: tugboat, displacement: 23695
442: This is a ship. Speed: 24, distance to destination: 1805.000000, time to distance: 75.208333, ship type: tanker, displacement: 24884
443: This is a ship. Speed: 15, distance to destination: 1572.000000, time to distance: 104.800000, ship type: liner, displacement: 32200
444: This is a plane. Speed: 15, distance to destination: 847.000000, time to distance: 56.466667, maximum flight distance: 2802, capacity: 296
445: This is a plane. Speed: 1, distance to destination: 1377.000000, time to distance: 1377.000000, maximum flight distance: 3763, capacity: 104
446: This is a plane. Speed: 12, distance to destination: 1489.000000, time to distance: 124.083333, maximum flight distance: 2935, capacity: 164
447: 448: This is a ship. Speed: 19, distance to destination: 811.000000, time to distance: 42.684211, ship type: liner, displacement: 33754
449: This is a ship. Speed: 22, distance to destination: 1641.000000, time to distance: 74.590909, ship type: liner, displacement: 14152
450: This is a ship. Speed: 1, distance to destination: 1320.000000, time to distance: 1320.000000, ship type: liner, displacement: 21099
451: This is a ship. Speed: 2, distance to destination: 939.000000, time to distance: 469.500000, ship type: liner, displacement: 5865
452: 453: This is a plane. Speed: 42, distance to destination: 1533.000000, time to distance: 36.500000, maximum flight distance: 2429, capacity: 152
454: This is a plane. Speed: 8, distance to destination: 624.000000, time to distance: 78.000000, maximum flight distance: 3632, capacity: 129
455: This is a ship. Speed: 46, distance to destination: 1640.000000, time to distance: 35.652174, ship type: tanker, displacement: 18150
456: This is a ship. Speed: 8, distance to destination: 758.000000, time to distance: 94.750000, ship type: liner, displacement: 31338
457: This is a ship. Speed: 35, distance to destination: 1837.000000, time to distance: 52.485714, ship type: tugboat, displacement: 4610
458: This is a plane. Speed: 33, distance to destination: 1824.000000, time to distance: 55.272727, maximum flight distance: 3533, capacity: 196
459: 460: This is a ship. Speed: 4, distance to destination: 1207.000000, time to distance: 301.750000, ship type: liner, displacement: 11213
461: 462: This is a plane. Speed: 47, distance to destination: 1837.000000, time to distance: 39.085106, maximum flight distance: 2462, capacity: 168
463: This is a ship. Speed: 37, distance to destination: 1346.000000, time to distance: 36.378378, ship type: tanker, displacement: 18870
464: This is a ship. Speed: 34, distance to destination: 1054.000000, time to distance: 31.000000, ship type: liner, displacement: 8778
465: 466: This is a ship. Speed: 12, distance to destination: 1663.000000, time to distance: 138.583333, ship type: liner, displacement: 21725
467: This is a plane. Speed: 60, distance to destination: 1958.000000, time to distance: 32.633333, maximum flight distance: 2478, capacity: 250
468: This is a plane. Speed: 12, distance to destination: 1422.000000, time to distance: 118.500000, maximum flight distance: 2877, capacity: 165
469: This is a ship. Speed: 13, distance to destination: 893.000000, time to distance: 68.692308, ship type: liner, displacement: 26761
470: This is a ship. Speed: 34, distance to destination: 1435.000000, time to distance: 42.205882, ship type: tanker, displacement: 18187
471: This is a plane. Speed: 31, distance to destination: 1451.000000, time to distance: 46.806452, maximum flight distance: 3569, capacity: 227
472: This is a ship. Speed: 50, distance to destination: 1891.000000, time to distance: 37.820000, ship type: tugboat, displacement: 33159
473: This is a ship. Speed: 38, distance to destination: 1459.000000, time to distance: 38.394737, ship type: tugboat, displacement: 12322
474: 475: This is a plane. Speed: 28, distance to destination: 1807.000000, time to distance: 64.535714, maximum flight distance: 3207, capacity: 269
476: This is a ship. Speed: 25, distance to destination: 1222.000000, time to distance: 48.880000, ship type: tanker, displacement: 2411
477: 478: This is a plane. Speed: 3, distance to destination: 1792.000000, time to distance: 597.333333, maximum flight distance: 2747, capacity: 186
479: 480: This is a ship. Speed: 14, distance to destination: 1118.000000, time to distance: 79.857143, ship type: tugboat, displacement: 1074
481: 482: This is a ship. Speed: 9, distance to destination: 633.000000, time to distance: 70.333333, ship type: liner, displacement: 2547
483: This is a ship. Speed: 32, distance to destination: 1481.000000, time to distance: 46.281250, ship type: liner, displacement: 11445
484: This is a ship. Speed: 18, distance to destination: 1377.000000, time to distance: 76.500000, ship type: tugboat, displacement: 22505
485: This is a ship. Speed: 22, distance to destination: 1251.000000, time to distance: 56.863636, ship type: liner, displacement: 4730
486: 487: 488: 489: This is a plane. Speed: 50, distance to destination: 1879.000000, time to distance: 37.580000, maximum flight distance: 3271, capacity: 230
490: This is a plane. Speed: 19, distance to destination: 1547.000000, time to distance: 81.421053, maximum flight distance: 3595, capacity: 223
491: This is a plane. Speed: 5, distance to destination: 1352.000000, time to distance: 270.400000, maximum flight distance: 2274, capacity: 293
492: 493: This is a plane. Speed: 1, distance to destination: 1259.000000, time to distance: 1259.000000, maximum flight distance: 2465, capacity: 297
494: This is a ship. Speed: 6, distance to destination: 687.000000, time to distance: 114.500000, ship type: tanker, displacement: 3841
495: This is a plane. Speed: 22, distance to destination: 984.000000, time to distance: 44.727273, maximum flight distance: 3079, capacity: 135
496: This is a plane. Speed: 18, distance to destination: 1735.000000, time to distance: 96.388889, maximum flight distance: 3996, capacity: 271
497: 498: This is a plane. Speed: 34, distance to destination: 1617.000000, time to distance: 47.558824, maximum flight distance: 3762, capacity: 220
499: This is a plane. Speed: 16, distance to destination: 1986.000000, time to distance: 124.125000, maximum flight distance: 3726, capacity: 107
500: This is a plane. Speed: 24, distance to destination: 1659.000000, time to distance: 69.125000, maximum flight distance: 3517, capacity: 249
501: This is a plane. Speed: 19, distance to destination: 1558.000000, time to distance: 82.000000, maximum flight distance: 3790, capacity: 131
502: 503: This is a plane. Speed: 50, distance to destination: 1751.000000, time to distance: 35.020000, maximum flight distance: 2132, capacity: 190
504: This is a plane. Speed: 7, distance to destination: 1873.000000, time to distance: 267.571429, maximum flight distance: 2382, capacity: 250
505: This is a plane. Speed: 12, distance to destination: 773.000000, time to distance: 64.416667, maximum flight distance: 2237, capacity: 282
506: 507: This is a plane. Speed: 36, distance to destination: 1706.000000, time to distance: 47.388889, maximum flight distance: 2745, capacity: 246
508: This is a plane. Speed: 5, distance to destination: 1264.000000, time to distance: 252.800000, maximum flight distance: 2722, capacity: 249
509: This is a ship. Speed: 7, distance to destination: 857.000000, time to distance: 122.428571, ship type: tugboat, displacement: 6687
510: This is a plane. Speed: 9, distance to destination: 1651.000000, time to distance: 183.444444, maximum flight distance: 2774, capacity: 125
511: 512: 513: This is a ship. Speed: 19, distance to destination: 983.000000, time to distance: 51.736842, ship type: liner, displacement: 28119
514: This is a ship. Speed: 30, distance to destination: 1887.000000, time to distance: 62.900000, ship type: liner, displacement: 12771
515: This is a ship. Speed: 36, distance to destination: 1134.000000, time to distance: 31.500000, ship type: liner, displacement: 28131
516: 517: This is a plane. Speed: 31, distance to destination: 1070.000000, time to distance: 34.516129, maximum flight distance: 2744, capacity: 266
518: 519: This is a ship. Speed: 20, distance to destination: 2000.000000, time to distance: 100.000000, ship type: tugboat, displacement: 2552
520: 521: 522: 523: This is a ship. Speed: 2, distance to destination: 1354.000000, time to distance: 677.000000, ship type: tugboat, displacement: 28770
524: This is a plane. Speed: 5, distance to destination: 1502.000000, time to distance: 300.400000, maximum flight distance: 3852, capacity: 116
525: 526: 527: This is a ship. Speed: 1, distance to destination: 694.000000, time to distance: 694.000000, ship type: liner, displacement: 8531
528: This is a plane. Speed: 11, distance to destination: 1139.000000, time to distance: 103.545455, maximum flight distance: 2280, capacity: 176
529: 530: 531: 532: This is a plane. Speed: 21, distance to destination: 1049.000000, time to distance: 49.952381, maximum flight distance: 2796, capacity: 110
533: 534: This is a ship. Speed: 21, distance to destination: 1710.000000, time to distance: 81.428571, ship type: tugboat, displacement: 21121
535: This is a ship. Speed: 17, distance to destination: 745.000000, time to distance: 43.823529, ship type: liner, displacement: 17173
536: This is a plane. Speed: 13, distance to destination: 693.000000, time to distance: 53.307692, maximum flight distance: 3828, capacity: 240
537: This is a plane. Speed: 10, distance to destination: 564.000000, time to distance: 56.400000, maximum flight distance: 2394, capacity: 215
538: This is a ship. Speed: 2, distance to destination: 1755.000000, time to distance: 877.500000, ship type: tanker, displacement: 29296
539: 540: 541: 542: This is a ship. Speed: 15, distance to destination: 1829.000000, time to distance: 121.933333, ship type: tanker, displacement: 17421
543: 544: This is a ship. Speed: 44, distance to destination: 1519.000000, time to distance: 34.522727, ship type: tugboat, displacement: 24790
545: 546: 547: This is a plane. Speed: 1, distance to destination: 1792.000000, time to distance: 1792.000000, maximum flight distance: 3816, capacity: 182
548: 549: This is a ship. Speed: 30, distance to destination: 1856.000000, time to distance: 61.866667, ship type: liner, displacement: 7185
550: This is a plane. Speed: 16, distance to destination: 780.000000, time to distance: 48.750000, maximum flight distance: 3314, capacity: 289
551: This is a ship. Speed: 6, distance to destination: 1642.000000, time to distance: 273.666667, ship type: tanker, displacement: 5607
552: 553: This is a ship. Speed: 19, distance to destination: 674.000000, time to distance: 35.473684, ship type: tugboat, displacement: 21228
554: This is a plane. Speed: 34, distance to destination: 1497.000000, time to distance: 44.029412, maximum flight distance: 2289, capacity: 257
555: This is a plane. Speed: 24, distance to destination: 1626.000000, time to distance: 67.750000, maximum flight distance: 3178, capacity: 142
556: 557: This is a ship. Speed: 12, distance to destination: 1424.000000, time to distance: 118.666667, ship type: tugboat, displacement: 16397
558: 559: This is a ship. Speed: 19, distance to destination: 1014.000000, time to distance: 53.368421, ship type: tanker, displacement: 27690
560: This is a ship. Speed: 39, distance to destination: 1794.000000, time to distance: 46.000000, ship type: liner, displacement: 5684
561: This is a ship. Speed: 28, distance to destination: 1643.000000, time to distance: 58.678571, ship type: tugboat, displacement: 32521
562: 563: This is a ship. Speed: 23, distance to destination: 777.000000, time to distance: 33.782609, ship type: tugboat, displacement: 18546
564: This is a ship. Speed: 61, distance to destination: 1837.000000, time to distance: 30.114754, ship type: liner, displacement: 4846
565: This is a plane. Speed: 23, distance to destination: 1111.000000, time to distance: 48.304348, maximum flight distance: 3689, capacity: 169
566: This is a plane. Speed: 30, distance to destination: 1228.000000, time to distance: 40.933333, maximum flight distance: 2898, capacity: 210
567: This is a ship. Speed: 44, distance to destination: 1579.000000, time to distance: 35.886364, ship type: tanker, displacement: 10037
568: This is a ship. Speed: 32, distance to destination: 970.000000, time to distance: 30.312500, ship type: tugboat, displacement: 12836
569: This is a plane. Speed: 25, distance to destination: 1876.000000, time to distance: 75.040000, maximum flight distance: 2569, capacity: 293
570: This is a plane. Speed: 28, distance to destination: 1827.000000, time to distance: 65.250000, maximum flight distance: 2816, capacity: 157
571: 572: This is a ship. Speed: 24, distance to destination: 962.000000, time to distance: 40.083333, ship type: liner, displacement: 29879
573: This is a ship. Speed: 3, distance to destination: 1939.000000, time to distance: 646.333333, ship type: tugboat, displacement: 4960
574: This is a plane. Speed: 11, distance to destination: 1383.000000, time to distance: 125.727273, maximum flight distance: 2394, capacity: 205
575: 576: 577: This is a plane. Speed: 2, distance to destination: 490.000000, time to distance: 245.000000, maximum flight distance: 2699, capacity: 270
578: 579: This is a plane. Speed: 3, distance to destination: 1149.000000, time to distance: 383.000000, maximum flight distance: 3544, capacity: 165
580: 581: This is a plane. Speed: 63, distance to destination: 1976.000000, time to distance: 31.365079, maximum flight distance: 3082, capacity: 186
582: This is a ship. Speed: 4, distance to destination: 848.000000, time to distance: 212.000000, ship type: liner, displacement: 7238
583: This is a ship. Speed: 37, distance to destination: 1274.000000, time to distance: 34.432432, ship type: tugboat, displacement: 30859
584: This is a plane. Speed: 9, distance to destination: 1172.000000, time to distance: 130.222222, maximum flight distance: 3689, capacity: 123
585: This is a plane. Speed: 42, distance to destination: 1472.000000, time to distance: 35.047619, maximum flight distance: 2279, capacity: 295
586: This is a plane. Speed: 45, distance to destination: 1534.000000, time to distance: 34.088889, maximum flight distance: 2451, capacity: 133
587: This is a ship. Speed: 9, distance to destination: 849.000000, time to distance: 94.333333, ship type: liner, displacement: 6588
588: 589: 590: This is a plane. Speed: 53, distance to destination: 1700.000000, time to distance: 32.075472, maximum flight distance: 3126, capacity: 203
591: 592: This is a ship. Speed: 7, distance to destination: 520.000000, time to distance: 74.285714, ship type: tanker, displacement: 31717
593: This is a ship. Speed: 35, distance to destination: 1488.000000, time to distance: 42.514286, ship type: tanker, displacement: 15747
594: This is a ship. Speed: 64, distance to destination: 1981.000000, time to distance: 30.953125, ship type: tanker, displacement: 31959
595: This is a ship. Speed: 28, distance to destination: 1042.000000, time to distance: 37.214286, ship type: tugboat, displacement: 14766
596: This is a plane. Speed: 38, distance to destination: 1499.000000, time to distance: 39.447368, maximum flight distance: 3540, capacity: 139
597: This is a ship. Speed: 13, distance to destination: 1967.000000, time to distance: 151.307692, ship type: liner, displacement: 24210
598: This is a ship. Speed: 33, distance to destination: 1448.000000, time to distance: 43.878788, ship type: liner, displacement: 19071
599: This is a plane. Speed: 9, distance to destination: 1277.000000, time to distance: 141.888889, maximum flight distance: 2719, capacity: 236
600: This is a ship. Speed: 18, distance to destination: 1591.000000, time to distance: 88.388889, ship type: tanker, displacement: 2679
601: 602: 603: This is a ship. Speed: 25, distance to destination: 1765.000000, time to distance: 70.600000, ship type: liner, displacement: 18152
604: This is a plane. Speed: 17, distance to destination: 1210.000000, time to distance: 71.176471, maximum flight distance: 3641, capacity: 242
605: This is a plane. Speed: 22, distance to destination: 1251.000000, time to distance: 56.863636, maximum flight distance: 3020, capacity: 152
606: This is a ship. Speed: 9, distance to destination: 288.000000, time to distance: 32.000000, ship type: liner, displacement: 21438
607: 608: This is a ship. Speed: 20, distance to destination: 619.000000, time to distance: 30.950000, ship type: tugboat, displacement: 26668
609: 610: This is a plane. Speed: 46, distance to destination: 1511.000000, time to distance: 32.847826, maximum flight distance: 3418, capacity: 223
611: 612: This is a plane. Speed: 18, distance to destination: 1897.000000, time to distance: 105.388889, maximum flight distance: 3531, capacity: 214
613: This is a plane. Speed: 10, distance to destination: 629.000000, time to distance: 62.900000, maximum flight distance: 3756, capacity: 266
614: This is a ship. Speed: 2, distance to destination: 522.000000, time to distance: 261.000000, ship type: tanker, displacement: 3560
615: This is a plane. Speed: 4, distance to destination: 1015.000000, time to distance: 253.750000, maximum flight distance: 2591, capacity: 105
616: 617: 618: This is a ship. Speed: 38, distance to destination: 1222.000000, time to distance: 32.157895, ship type: liner, displacement: 2228
619: This is a plane. Speed: 30, distance to destination: 1969.000000, time to distance: 65.633333, maximum flight distance: 3966, capacity: 128
620: 621: This is a plane. Speed: 23, distance to destination: 1765.000000, time to distance: 76.739130, maximum flight distance: 3186, capacity: 220
622: This is a ship. Speed: 1, distance to destination: 935.000000, time to distance: 935.000000, ship type: tugboat, displacement: 21291
623: This is a plane. Speed: 43, distance to destination: 1473.000000, time to distance: 34.255814, maximum flight distance: 3104, capacity: 231
624: This is a plane. Speed: 38, distance to destination: 1940.000000, time to distance: 51.052632, maximum flight distance: 2809, capacity: 290
625: 626: 627: This is a ship. Speed: 23, distance to destination: 1904.000000, time to distance: 82.782609, ship type: liner, displacement: 25420
628: This is a plane. Speed: 19, distance to destination: 999.000000, time to distance: 52.578947, maximum flight distance: 2652, capacity: 257
629: This is a plane. Speed: 1, distance to destination: 971.000000, time to distance: 971.000000, maximum flight distance: 3218, capacity: 120
630: This is a ship. Speed: 11, distance to destination: 1749.000000, time to distance: 159.000000, ship type: liner, displacement: 2026
631: This is a plane. Speed: 11, distance to destination: 515.000000, time to distance: 46.818182, maximum flight distance: 2849, capacity: 187
632: 633: This is a plane. Speed: 12, distance to destination: 1559.000000, time to distance: 129.916667, maximum flight distance: 3568, capacity: 127
634: This is a plane. Speed: 13, distance to destination: 1464.000000, time to distance: 112.615385, maximum flight distance: 2450, capacity: 113
635: This is a plane. Speed: 52, distance to destination: 1624.000000, time to distance: 31.230769, maximum flight distance: 3488, capacity: 154
636: This is a ship. Speed: 37, distance to destination: 1592.000000, time to distance: 43.027027, ship type: tugboat, displacement: 3471
637: 638: This is a ship. Speed: 18, distance to destination: 1235.000000, time to distance: 68.611111, ship type: tanker, displacement: 25067
639: 640: This is a ship. Speed: 26, distance to destination: 911.000000, time to distance: 35.038462, ship type: tanker, displacement: 4693
641: This is a plane. Speed: 15, distance to destination: 1961.000000, time to distance: 130.733333, maximum flight distance: 3655, capacity: 175
642: This is a plane. Speed: 11, distance to destination: 754.000000, time to distance: 68.545455, maximum flight distance: 2809, capacity: 283
643: This is a plane. Speed: 11, distance to destination: 1397.000000, time to distance: 127.000000, maximum flight distance: 3135, capacity: 124
644: This is a plane. Speed: 37, distance to destination: 1301.000000, time to distance: 35.162162, maximum flight distance: 2518, capacity: 291
645: 646: This is a plane. Speed: 34, distance to destination: 1438.000000, time to distance: 42.294118, maximum flight distance: 2969, capacity: 201
647: 648: This is a ship. Speed: 12, distance to destination: 383.000000, time to distance: 31.916667, ship type: tugboat, displacement: 16441
649: This is a plane. Speed: 22, distance to destination: 1462.000000, time to distance: 66.454545, maximum flight distance: 3421, capacity: 134
650: This is a plane. Speed: 7, distance to destination: 1339.000000, time to distance: 191.285714, maximum flight distance: 3914, capacity: 210
651: This is a ship. Speed: 43, distance to destination: 1311.000000, time to distance: 30.488372, ship type: liner, displacement: 5821
652: This is a plane. Speed: 18, distance to destination: 1263.000000, time to distance: 70.166667, maximum flight distance: 2510, capacity: 166
653: This is a plane. Speed: 10, distance to destination: 962.000000, time to distance: 96.200000, maximum flight distance: 3935, capacity: 159
654: 655: 656: 657: 658: 659: This is a plane. Speed: 18, distance to destination: 1470.000000, time to distance: 81.666667, maximum flight distance: 3377, capacity: 138
660: 661: This is a ship. Speed: 47, distance to destination: 1543.000000, time to distance: 32.829787, ship type: tugboat, displacement: 30410
662: This is a ship. Speed: 32, distance to destination: 1458.000000, time to distance: 45.562500, ship type: liner, displacement: 24735
663: This is a plane. Speed: 29, distance to destination: 1977.000000, time to distance: 68.172414, maximum flight distance: 3526, capacity: 268
664: 665: This is a plane. Speed: 20, distance to destination: 986.000000, time to distance: 49.300000, maximum flight distance: 3320, capacity: 263
666: This is a ship. Speed: 32, distance to destination: 1364.000000, time to distance: 42.625000, ship type: tugboat, displacement: 28134
667: This is a ship. Speed: 17, distance to destination: 1820.000000, time to distance: 107.058824, ship type: tugboat, displacement: 8857
668: This is a plane. Speed: 10, distance to destination: 1190.000000, time to distance: 119.000000, maximum flight distance: 2873, capacity: 151
669: This is a plane. Speed: 15, distance to destination: 511.000000, time to distance: 34.066667, maximum flight distance: 2558, capacity: 157
670: This is a ship. Speed: 28, distance to destination: 1586.000000, time to distance: 56.642857, ship type: liner, displacement: 16429
671: This is a plane. Speed: 15, distance to destination: 1094.000000, time to distance: 72.933333, maximum flight distance: 3184, capacity: 234
672: This is a plane. Speed: 45, distance to destination: 1687.000000, time to distance: 37.488889, maximum flight distance: 2470, capacity: 121
673: This is a ship. Speed: 13, distance to destination: 1729.000000, time to distance: 133.000000, ship type: tugboat, displacement: 25887
674: This is a plane. Speed: 5, distance to destination: 858.000000, time to distance: 171.600000, maximum flight distance: 3146, capacity: 144
675: This is a ship. Speed: 6, distance to destination: 1194.000000, time to distance: 199.000000, ship type: tugboat, displacement: 7000
676: This is a ship. Speed: 60, distance to destination: 1976.000000, time to distance: 32.933333, ship type: tanker, displacement: 6566
677: This is a ship. Speed: 1, distance to destination: 1285.000000, time to distance: 1285.000000, ship type: tanker, displacement: 14832
678: This is a ship. Speed: 17, distance to destination: 792.000000, time to distance: 46.588235, ship type: tugboat, displacement: 8011
679: 680: This is a ship. Speed: 16, distance to destination: 1799.000000, time to distance: 112.437500, ship type: liner, displacement: 31959
681: This is a plane. Speed: 27, distance to destination: 837.000000, time to distance: 31.000000, maximum flight distance: 2866, capacity: 258
682: This is a ship. Speed: 29, distance to destination: 1591.000000, time to distance: 54.862069, ship type: liner, displacement: 4865
683: This is a ship. Speed: 3, distance to destination: 541.000000, time to distance: 180.333333, ship type: tugboat, displacement: 18744
684: This is a plane. Speed: 31, distance to destination: 1179.000000, time to distance: 38.032258, maximum flight distance: 2442, capacity: 262
685: This is a plane. Speed: 42, distance to destination: 1930.000000, time to distance: 45.952381, maximum flight distance: 2126, capacity: 288
686: This is a plane. Speed: 20, distance to destination: 1952.000000, time to distance: 97.600000, maximum flight distance: 3192, capacity: 124
687: This is a plane. Speed: 50, distance to destination: 1878.000000, time to distance: 37.560000, maximum flight distance: 3548, capacity: 127
688: This is a plane. Speed: 5, distance to destination: 1978.000000, time to distance: 395.600000, maximum flight distance: 3941, capacity: 152
689: This is a ship. Speed: 39, distance to destination: 1459.000000, time to distance: 37.410256, ship type: tanker, displacement: 31480
690: 691: This is a ship. Speed: 34, distance to destination: 1556.000000, time to distance: 45.764706, ship type: liner, displacement: 17361
692: 693: This is a ship. Speed: 34, distance to destination: 1213.000000, time to distance: 35.676471, ship type: liner, displacement: 20648
694: This is a ship. Speed: 4, distance to destination: 353.000000, time to distance: 88.250000, ship type: tanker, displacement: 25367
695: This is a ship. Speed: 1, distance to destination: 177.000000, time to distance: 177.000000, ship type: tanker, displacement: 9906
696: 697: This is a plane. Speed: 42, distance to destination: 1689.000000, time to distance: 40.214286, maximum flight distance: 2221, capacity: 273
698: 699: This is a plane. Speed: 37, distance to destination: 1675.000000, time to distance: 45.270270, maximum flight distance: 2142, capacity: 130
700: This is a plane. Speed: 19, distance to destination: 587.000000, time to distance: 30.894737, maximum flight distance: 3691, capacity: 160
701: This is a ship. Speed: 17, distance to destination: 1945.000000, time to distance: 114.411765, ship type: liner, displacement: 1616
702: This is a ship. Speed: 36, distance to destination: 1807.000000, time to distance: 50.194444, ship type: liner, displacement: 12669
703: 704: 705: This is a ship. Speed: 33, distance to destination: 1180.000000, time to distance: 35.757576, ship type: liner, displacement: 22608
706: This is a ship. Speed: 15, distance to destination: 644.000000, time to distance: 42.933333, ship type: liner, displacement: 3363
707: This is a ship. Speed: 19, distance to destination: 889.000000, time to distance: 46.789474, ship type: tugboat, displacement: 10673
708: This is a ship. Speed: 18, distance to destination: 1584.000000, time to distance: 88.000000, ship type: tanker, displacement: 26051
709: 710: This is a ship. Speed: 3, distance to destination: 776.000000, time to distance: 258.666667, ship type: liner, displacement: 6947
711: This is a plane. Speed: 55, distance to destination: 1959.000000, time to distance: 35.618182, maximum flight distance: 3387, capacity: 287
