Container contains 10000 elements.
1: This is a ship. Speed: 91, distance to destination: 75.000000, time to distance: 0.824176, ship type: tugboat, displacement: 17684
2419: 2420: 2421: This is a ship. Speed: 9, distance to destination: 608.000000, time to distance: 67.555556, ship type: tugboat, displacement: 5486
2422: This is a plane. Speed: 199, distance to destination: 831.000000, time to distance: 4.175879, maximum flight distance: 2632, capacity: 159
2423: This is a plane. Speed: 178, distance to destination: 1992.000000, time to distance: 11.191011, maximum flight distance: 2604, capacity: 285
2424: This is a plane. Speed: 153, distance to destination: 594.000000, time to distance: 3.882353, maximum flight distance: 3992, capacity: 252
2425: This is a ship. Speed: 87, distance to destination: 1233.000000, time to distance: 14.172414, ship type: tanker, displacement: 23905
2426: This is a plane. Speed: 30, distance to destination: 1247.000000, time to distance: 41.566667, maximum flight distance: 2560, capacity: 233
2427: This is a ship. Speed: 107, distance to destination: 651.000000, time to distance: 6.084112, ship type: tanker, displacement: 16523
2428: This is a plane. Speed: 14, distance to destination: 1314.000000, time to distance: 93.857143, maximum flight distance: 2845, capacity: 133
2429: 2430: 2431: This is a plane. Speed: 198, distance to destination: 679.000000, time to distance: 3.429293, maximum flight distance: 3830, capacity: 221
2432: This is a plane. Speed: 118, distance to destination: 462.000000, time to distance: 3.915254, maximum flight distance: 3852, capacity: 280
2433: This is a ship. Speed: 66, distance to destination: 1387.000000, time to distance: 21.015152, ship type: tugboat, displacement: 27864
2434: This is a ship. Speed: 45, distance to destination: 484.000000, time to distance: 10.755556, ship type: liner, displacement: 3832
2435: 2436: This is a plane. Speed: 19, distance to destination: 851.000000, time to distance: 44.789474, maximum flight distance: 2519, capacity: 154
2437: 2438: This is a ship. Speed: 45, distance to destination: 1163.000000, time to distance: 25.844444, ship type: tugboat, displacement: 17600
2439: This is a ship. Speed: 113, distance to destination: 1999.000000, time to distance: 17.690265, ship type: liner, displacement: 14356
2440: 2441: 2442: This is a plane. Speed: 166, distance to destination: 1301.000000, time to distance: 7.837349, maximum flight distance: 3710, capacity: 287
2443: This is a plane. Speed: 122, distance to destination: 1593.000000, time to distance: 13.057377, maximum flight distance: 3994, capacity: 141
2444: This is a plane. Speed: 196, distance to destination: 390.000000, time to distance: 1.989796, maximum flight distance: 3544, capacity: 154
2445: This is a plane. Speed: 120, distance to destination: 1451.000000, time to distance: 12.091667, maximum flight distance: 2061, capacity: 266
2446: 2447: This is a ship. Speed: 50, distance to destination: 608.000000, time to distance: 12.160000, ship type: liner, displacement: 10127
2448: This is a ship. Speed: 103, distance to destination: 445.000000, time to distance: 4.320388, ship type: tanker, displacement: 4867
2449: This is a plane. Speed: 156, distance to destination: 1126.000000, time to distance: 7.217949, maximum flight distance: 2908, capacity: 282
2450: 2451: 2452: This is a plane. Speed: 65, distance to destination: 1823.000000, time to distance: 28.046154, maximum flight distance: 3588, capacity: 280
2453: This is a plane. Speed: 56, distance to destination: 1971.000000, time to distance: 35.196429, maximum flight distance: 2059, capacity: 180
2454: 2455: 2456: This is a ship. Speed: 54, distance to destination: 197.000000, time to distance: 3.648148, ship type: tugboat, displacement: 13189
2457: 2458: 2459: This is a plane. Speed: 71, distance to destination: 341.000000, time to distance: 4.802817, maximum flight distance: 3506, capacity: 230
2460: 2461: This is a ship. Speed: 138, distance to destination: 1189.000000, time to distance: 8.615942, ship type: liner, displacement: 4100
2462: 2463: This is a plane. Speed: 56, distance to destination: 90.000000, time to distance: 1.607143, maximum flight distance: 2685, capacity: 100
2464: This is a plane. Speed: 1, distance to destination: 654.000000, time to distance: 654.000000, maximum flight distance: 3510, capacity: 169
2465: 2466: This is a plane. Speed: 19, distance to destination: 747.000000, time to distance: 39.315789, maximum flight distance: 2896, capacity: 154
2467: 2468: 2469: 2470: This is a ship. Speed: 80, distance to destination: 1681.000000, time to distance: 21.012500, ship type: tugboat, displacement: 22977
2471: This is a ship. Speed: 46, distance to destination: 1831.000000, time to distance: 39.804348, ship type: tugboat, displacement: 17435
2472: 2473: This is a plane. Speed: 62, distance to destination: 975.000000, time to distance: 15.725806, maximum flight distance: 2110, capacity: 201
2474: 2475: 2476: This is a plane. Speed: 53, distance to destination: 1369.000000, time to distance: 25.830189, maximum flight distance: 3105, capacity: 220
2477: This is a plane. Speed: 174, distance to destination: 1368.000000, time to distance: 7.862069, maximum flight distance: 3379, capacity: 233
2478: 2479: This is a plane. Speed: 120, distance to destination: 1550.000000, time to distance: 12.916667, maximum flight distance: 3724, capacity: 266
2480: This is a ship. Speed: 55, distance to destination: 1908.000000, time to distance: 34.690909, ship type: liner, displacement: 15445
2481: This is a plane. Speed: 57, distance to destination: 971.000000, time to distance: 17.035088, maximum flight distance: 3721, capacity: 263
2482: This is a plane. Speed: 196, distance to destination: 1525.000000, time to distance: 7.780612, maximum flight distance: 2028, capacity: 267
2483: This is a ship. Speed: 159, distance to destination: 1447.000000, time to distance: 9.100629, ship type: liner, displacement: 12448
2484: This is a plane. Speed: 16, distance to destination: 1347.000000, time to distance: 84.187500, maximum flight distance: 3985, capacity: 165
2485: This is a plane. Speed: 178, distance to destination: 1224.000000, time to distance: 6.876404, maximum flight distance: 3244, capacity: 193
2486: 2487: This is a plane. Speed: 39, distance to destination: 1092.000000, time to distance: 28.000000, maximum flight distance: 2986, capacity: 220
2488: 2489: This is a plane. Speed: 166, distance to destination: 996.000000, time to distance: 6.000000, maximum flight distance: 3183, capacity: 114
2490: This is a plane. Speed: 170, distance to destination: 766.000000, time to distance: 4.505882, maximum flight distance: 3268, capacity: 162
2491: This is a ship. Speed: 21, distance to destination: 1341.000000, time to distance: 63.857143, ship type: liner, displacement: 32226
2492: This is a plane. Speed: 107, distance to destination: 857.000000, time to distance: 8.009346, maximum flight distance: 2151, capacity: 163
2493: This is a ship. Speed: 24, distance to destination: 1783.000000, time to distance: 74.291667, ship type: tanker, displacement: 5476
2494: This is a ship. Speed: 125, distance to destination: 705.000000, time to distance: 5.640000, ship type: tugboat, displacement: 8241
2495: 2496: 2497: This is a ship. Speed: 136, distance to destination: 1618.000000, time to distance: 11.897059, ship type: tanker, displacement: 7562
2498: 2499: This is a plane. Speed: 165, distance to destination: 45.000000, time to distance: 0.272727, maximum flight distance: 2135, capacity: 265
2500: 2501: This is a plane. Speed: 35, distance to destination: 259.000000, time to distance: 7.400000, maximum flight distance: 2392, capacity: 163
2502: This is a ship. Speed: 76, distance to destination: 225.000000, time to distance: 2.960526, ship type: liner, displacement: 10057
2503: 2504: This is a plane. Speed: 131, distance to destination: 144.000000, time to distance: 1.099237, maximum flight distance: 3240, capacity: 257
2505: 2506: 2507: 2508: This is a plane. Speed: 43, distance to destination: 1382.000000, time to distance: 32.139535, maximum flight distance: 3544, capacity: 254
2509: This is a plane. Speed: 158, distance to destination: 1103.000000, time to distance: 6.981013, maximum flight distance: 3043, capacity: 247
2510: This is a ship. Speed: 73, distance to destination: 1735.000000, time to distance: 23.767123, ship type: tugboat, displacement: 4431
2511: This is a ship. Speed: 119, distance to destination: 1629.000000, time to distance: 13.689076, ship type: liner, displacement: 27137
2512: 2513: 2514: This is a plane. Speed: 145, distance to destination: 1271.000000, time to distance: 8.765517, maximum flight distance: 2737, capacity: 142
2515: 2516: This is a ship. Speed: 87, distance to destination: 669.000000, time to distance: 7.689655, ship type: tanker, displacement: 10147
2517: 2518: 2519: This is a ship. Speed: 37, distance to destination: 146.000000, time to distance: 3.945946, ship type: tugboat, displacement: 6115
2520: This is a plane. Speed: 146, distance to destination: 680.000000, time to distance: 4.657534, maximum flight distance: 2262, capacity: 126
2521: 2522: This is a ship. Speed: 90, distance to destination: 1454.000000, time to distance: 16.155556, ship type: tugboat, displacement: 7799
2523: 2524: This is a plane. Speed: 173, distance to destination: 747.000000, time to distance: 4.317919, maximum flight distance: 2499, capacity: 186
2525: 2526: This is a plane. Speed: 36, distance to destination: 1651.000000, time to distance: 45.861111, maximum flight distance: 3659, capacity: 249
2527: This is a plane. Speed: 155, distance to destination: 973.000000, time to distance: 6.277419, maximum flight distance: 3889, capacity: 234
2528: 2529: This is a ship. Speed: 117, distance to destination: 711.000000, time to distance: 6.076923, ship type: tugboat, displacement: 32394
2530: This is a ship. Speed: 80, distance to destination: 1701.000000, time to distance: 21.262500, ship type: tugboat, displacement: 7296
2531: This is a plane. Speed: 30, distance to destination: 1759.000000, time to distance: 58.633333, maximum flight distance: 3329, capacity: 149
2532: This is a ship. Speed: 44, distance to destination: 115.000000, time to distance: 2.613636, ship type: liner, displacement: 12401
2533: This is a ship. Speed: 164, distance to destination: 1359.000000, time to distance: 8.286585, ship type: liner, displacement: 8321
2534: 2535: This is a ship. Speed: 123, distance to destination: 1436.000000, time to distance: 11.674797, ship type: tugboat, displacement: 33209
2536: This is a plane. Speed: 143, distance to destination: 1757.000000, time to distance: 12.286713, maximum flight distance: 2750, capacity: 188
2537: 2538: This is a plane. Speed: 171, distance to destination: 153.000000, time to distance: 0.894737, maximum flight distance: 2626, capacity: 190
2539: 2540: This is a plane. Speed: 46, distance to destination: 843.000000, time to distance: 18.326087, maximum flight distance: 2924, capacity: 139
2541: This is a plane. Speed: 85, distance to destination: 947.000000, time to distance: 11.141176, maximum flight distance: 2083, capacity: 207
2542: This is a plane. Speed: 103, distance to destination: 1711.000000, time to distance: 16.611650, maximum flight distance: 2586, capacity: 222
2543: 2544: 2545: 2546: This is a ship. Speed: 102, distance to destination: 1060.000000, time to distance: 10.392157, ship type: tugboat, displacement: 33105
2547: This is a ship. Speed: 152, distance to destination: 524.000000, time to distance: 3.447368, ship type: liner, displacement: 8414
2548: This is a ship. Speed: 168, distance to destination: 972.000000, time to distance: 5.785714, ship type: tugboat, displacement: 17862
2549: This is a ship. Speed: 164, distance to destination: 178.000000, time to distance: 1.085366, ship type: tugboat, displacement: 21731
2550: This is a plane. Speed: 165, distance to destination: 1428.000000, time to distance: 8.654545, maximum flight distance: 3033, capacity: 161
2551: This is a ship. Speed: 171, distance to destination: 1902.000000, time to distance: 11.122807, ship type: liner, displacement: 29298
2552: This is a plane. Speed: 139, distance to destination: 254.000000, time to distance: 1.827338, maximum flight distance: 3635, capacity: 125
2553: This is a ship. Speed: 76, distance to destination: 1136.000000, time to distance: 14.947368, ship type: tugboat, displacement: 6525
2554: This is a plane. Speed: 47, distance to destination: 146.000000, time to distance: 3.106383, maximum flight distance: 2628, capacity: 269
2555: 2556: 2557: 2558: 2559: This is a ship. Speed: 84, distance to destination: 167.000000, time to distance: 1.988095, ship type: tugboat, displacement: 21429
2560: 2561: 2562: This is a plane. Speed: 113, distance to destination: 1928.000000, time to distance: 17.061947, maximum flight distance: 3462, capacity: 106
2563: This is a ship. Speed: 146, distance to destination: 1789.000000, time to distance: 12.253425, ship type: liner, displacement: 8167
2564: This is a plane. Speed: 37, distance to destination: 1548.000000, time to distance: 41.837838, maximum flight distance: 3879, capacity: 271
2565: This is a plane. Speed: 23, distance to destination: 304.000000, time to distance: 13.217391, maximum flight distance: 2906, capacity: 133
2566: This is a ship. Speed: 36, distance to destination: 958.000000, time to distance: 26.611111, ship type: tugboat, displacement: 7845
2567: This is a plane. Speed: 96, distance to destination: 885.000000, time to distance: 9.218750, maximum flight distance: 3276, capacity: 108
2568: This is a plane. Speed: 19, distance to destination: 1290.000000, time to distance: 67.894737, maximum flight distance: 2028, capacity: 167
2569: 2570: This is a plane. Speed: 89, distance to destination: 160.000000, time to distance: 1.797753, maximum flight distance: 3829, capacity: 114
2571: This is a plane. Speed: 93, distance to destination: 1818.000000, time to distance: 19.548387, maximum flight distance: 2198, capacity: 219
2572: This is a ship. Speed: 91, distance to destination: 1963.000000, time to distance: 21.571429, ship type: tanker, displacement: 14888
2573: This is a ship. Speed: 2, distance to destination: 944.000000, time to distance: 472.000000, ship type: liner, displacement: 16920
2574: This is a plane. Speed: 89, distance to destination: 293.000000, time to distance: 3.292135, maximum flight distance: 2949, capacity: 260
2575: This is a ship. Speed: 88, distance to destination: 377.000000, time to distance: 4.284091, ship type: tanker, displacement: 15795
2576: This is a plane. Speed: 193, distance to destination: 1845.000000, time to distance: 9.559585, maximum flight distance: 3590, capacity: 172
2577: This is a ship. Speed: 116, distance to destination: 1574.000000, time to distance: 13.568966, ship type: tugboat, displacement: 2595
2578: This is a plane. Speed: 94, distance to destination: 413.000000, time to distance: 4.393617, maximum flight distance: 3345, capacity: 199
2579: This is a plane. Speed: 114, distance to destination: 418.000000, time to distance: 3.666667, maximum flight distance: 3260, capacity: 104
2580: This is a plane. Speed: 118, distance to destination: 1069.000000, time to distance: 9.059322, maximum flight distance: 2353, capacity: 146
2581: This is a ship. Speed: 164, distance to destination: 12.000000, time to distance: 0.073171, ship type: tanker, displacement: 7058
2582: This is a plane. Speed: 81, distance to destination: 320.000000, time to distance: 3.950617, maximum flight distance: 3791, capacity: 155
2583: This is a plane. Speed: 101, distance to destination: 836.000000, time to distance: 8.277228, maximum flight distance: 3619, capacity: 119
2584: 2585: This is a plane. Speed: 124, distance to destination: 1964.000000, time to distance: 15.838710, maximum flight distance: 3544, capacity: 101
2586: This is a ship. Speed: 42, distance to destination: 249.000000, time to distance: 5.928571, ship type: tanker, displacement: 11129
2587: 2588: This is a ship. Speed: 77, distance to destination: 183.000000, time to distance: 2.376623, ship type: tanker, displacement: 31833
2589: 2590: This is a plane. Speed: 27, distance to destination: 1640.000000, time to distance: 60.740741, maximum flight distance: 2993, capacity: 184
2591: This is a plane. Speed: 172, distance to destination: 190.000000, time to distance: 1.104651, maximum flight distance: 3124, capacity: 230
2592: This is a ship. Speed: 113, distance to destination: 1021.000000, time to distance: 9.035398, ship type: tugboat, displacement: 14114
2593: This is a plane. Speed: 119, distance to destination: 1341.000000, time to distance: 11.268908, maximum flight distance: 3352, capacity: 221
2594: This is a plane. Speed: 127, distance to destination: 1378.000000, time to distance: 10.850394, maximum flight distance: 3009, capacity: 275
2595: 2596: 2597: 2598: This is a plane. Speed: 56, distance to destination: 212.000000, time to distance: 3.785714, maximum flight distance: 3848, capacity: 189
2599: 2600: 2601: 2602: 2603: This is a ship. Speed: 39, distance to destination: 1072.000000, time to distance: 27.487179, ship type: liner, displacement: 30996
2604: 2605: This is a plane. Speed: 60, distance to destination: 45.000000, time to distance: 0.750000, maximum flight distance: 3630, capacity: 229
2606: This is a plane. Speed: 66, distance to destination: 447.000000, time to distance: 6.772727, maximum flight distance: 2416, capacity: 206
2607: This is a plane. Speed: 56, distance to destination: 1414.000000, time to distance: 25.250000, maximum flight distance: 3007, capacity: 300
2608: This is a ship. Speed: 43, distance to destination: 1403.000000, time to distance: 32.627907, ship type: tugboat, displacement: 11009
2609: This is a plane. Speed: 130, distance to destination: 1586.000000, time to distance: 12.200000, maximum flight distance: 2412, capacity: 108
2610: This is a plane. Speed: 34, distance to destination: 1616.000000, time to distance: 47.529412, maximum flight distance: 2695, capacity: 274
2611: 2612: 2613: This is a plane. Speed: 50, distance to destination: 1687.000000, time to distance: 33.740000, maximum flight distance: 3581, capacity: 119
2614: This is a ship. Speed: 116, distance to destination: 419.000000, time to distance: 3.612069, ship type: tanker, displacement: 2877
2615: This is a ship. Speed: 90, distance to destination: 48.000000, time to distance: 0.533333, ship type: tugboat, displacement: 8493
2616: This is a plane. Speed: 191, distance to destination: 823.000000, time to distance: 4.308901, maximum flight distance: 2855, capacity: 274
2617: 2618: This is a plane. Speed: 193, distance to destination: 1760.000000, time to distance: 9.119171, maximum flight distance: 3799, capacity: 287
2619: This is a ship. Speed: 194, distance to destination: 1212.000000, time to distance: 6.247423, ship type: tugboat, displacement: 14889
2620: This is a ship. Speed: 55, distance to destination: 1911.000000, time to distance: 34.745455, ship type: tugboat, displacement: 22596
2621: This is a plane. Speed: 9, distance to destination: 473.000000, time to distance: 52.555556, maximum flight distance: 2582, capacity: 205
2622: This is a ship. Speed: 197, distance to destination: 975.000000, time to distance: 4.949239, ship type: tugboat, displacement: 28836
2623: This is a plane. Speed: 75, distance to destination: 623.000000, time to distance: 8.306667, maximum flight distance: 2290, capacity: 251
2624: This is a ship. Speed: 181, distance to destination: 982.000000, time to distance: 5.425414, ship type: liner, displacement: 11607
2625: 2626: 2627: This is a ship. Speed: 43, distance to destination: 870.000000, time to distance: 20.232558, ship type: liner, displacement: 18372
2628: 2629: This is a ship. Speed: 175, distance to destination: 916.000000, time to distance: 5.234286, ship type: tugboat, displacement: 19181
2630: This is a plane. Speed: 15, distance to destination: 841.000000, time to distance: 56.066667, maximum flight distance: 3847, capacity: 247
2631: This is a ship. Speed: 24, distance to destination: 663.000000, time to distance: 27.625000, ship type: liner, displacement: 31422
2632: This is a ship. Speed: 10, distance to destination: 1694.000000, time to distance: 169.400000, ship type: tanker, displacement: 33427
2633: This is a ship. Speed: 162, distance to destination: 1393.000000, time to distance: 8.598765, ship type: tanker, displacement: 24221
2634: This is a plane. Speed: 88, distance to destination: 943.000000, time to distance: 10.715909, maximum flight distance: 2104, capacity: 233
2635: This is a plane. Speed: 150, distance to destination: 827.000000, time to distance: 5.513333, maximum flight distance: 2315, capacity: 244
2636: 2637: This is a ship. Speed: 74, distance to destination: 1291.000000, time to distance: 17.445946, ship type: tugboat, displacement: 7430
2638: This is a ship. Speed: 48, distance to destination: 1217.000000, time to distance: 25.354167, ship type: tugboat, displacement: 31346
2639: This is a ship. Speed: 144, distance to destination: 859.000000, time to distance: 5.965278, ship type: tanker, displacement: 15720
2640: This is a ship. Speed: 127, distance to destination: 1814.000000, time to distance: 14.283465, ship type: tugboat, displacement: 15473
2641: This is a ship. Speed: 82, distance to destination: 1269.000000, time to distance: 15.475610, ship type: liner, displacement: 12616
2642: This is a plane. Speed: 44, distance to destination: 1977.000000, time to distance: 44.931818, maximum flight distance: 2907, capacity: 300
2643: 2644: This is a ship. Speed: 35, distance to destination: 1322.000000, time to distance: 37.771429, ship type: tugboat, displacement: 23695
2645: This is a ship. Speed: 24, distance to destination: 1805.000000, time to distance: 75.208333, ship type: tanker, displacement: 24884
2646: 2647: This is a plane. Speed: 92, distance to destination: 824.000000, time to distance: 8.956522, maximum flight distance: 2156, capacity: 134
2648: 2649: 2650: 2651: This is a ship. Speed: 106, distance to destination: 1150.000000, time to distance: 10.849057, ship type: liner, displacement: 2747
2652: This is a ship. Speed: 196, distance to destination: 1360.000000, time to distance: 6.938776, ship type: tugboat, displacement: 9096
2653: This is a ship. Speed: 133, distance to destination: 865.000000, time to distance: 6.503759, ship type: tugboat, displacement: 31962
2654: This is a plane. Speed: 11, distance to destination: 56.000000, time to distance: 5.090909, maximum flight distance: 3793, capacity: 213
2655: This is a plane. Speed: 163, distance to destination: 992.000000, time to distance: 6.085890, maximum flight distance: 2912, capacity: 258
2656: This is a plane. Speed: 166, distance to destination: 1155.000000, time to distance: 6.957831, maximum flight distance: 2618, capacity: 194
2657: This is a ship. Speed: 66, distance to destination: 1626.000000, time to distance: 24.636364, ship type: liner, displacement: 8959
2658: This is a plane. Speed: 172, distance to destination: 224.000000, time to distance: 1.302326, maximum flight distance: 3683, capacity: 103
2659: 2660: 2661: This is a ship. Speed: 15, distance to destination: 1572.000000, time to distance: 104.800000, ship type: liner, displacement: 32200
2662: This is a ship. Speed: 187, distance to destination: 1008.000000, time to distance: 5.390374, ship type: liner, displacement: 20386
2663: This is a plane. Speed: 147, distance to destination: 285.000000, time to distance: 1.938776, maximum flight distance: 3226, capacity: 209
2664: 2665: This is a ship. Speed: 92, distance to destination: 65.000000, time to distance: 0.706522, ship type: tanker, displacement: 26280
2666: This is a plane. Speed: 96, distance to destination: 1031.000000, time to distance: 10.739583, maximum flight distance: 3797, capacity: 185
2667: This is a ship. Speed: 87, distance to destination: 1692.000000, time to distance: 19.448276, ship type: liner, displacement: 21507
2668: This is a plane. Speed: 21, distance to destination: 248.000000, time to distance: 11.809524, maximum flight distance: 2463, capacity: 115
2669: This is a plane. Speed: 15, distance to destination: 847.000000, time to distance: 56.466667, maximum flight distance: 2802, capacity: 296
2670: This is a plane. Speed: 1, distance to destination: 1377.000000, time to distance: 1377.000000, maximum flight distance: 3763, capacity: 104
2671: This is a ship. Speed: 116, distance to destination: 63.000000, time to distance: 0.543103, ship type: tugboat, displacement: 31611
2672: This is a plane. Speed: 188, distance to destination: 567.000000, time to distance: 3.015957, maximum flight distance: 3108, capacity: 146
2673: This is a plane. Speed: 57, distance to destination: 1287.000000, time to distance: 22.578947, maximum flight distance: 3746, capacity: 246
2674: 2675: This is a plane. Speed: 12, distance to destination: 1489.000000, time to distance: 124.083333, maximum flight distance: 2935, capacity: 164
2676: 2677: 2678: 2679: This is a ship. Speed: 51, distance to destination: 1429.000000, time to distance: 28.019608, ship type: tugboat, displacement: 16482
2680: This is a ship. Speed: 70, distance to destination: 719.000000, time to distance: 10.271429, ship type: tugboat, displacement: 7814
2681: This is a plane. Speed: 164, distance to destination: 1788.000000, time to distance: 10.902439, maximum flight distance: 2028, capacity: 197
2682: This is a ship. Speed: 19, distance to destination: 811.000000, time to distance: 42.684211, ship type: liner, displacement: 33754
2683: This is a ship. Speed: 58, distance to destination: 1060.000000, time to distance: 18.275862, ship type: liner, displacement: 10683
2684: This is a ship. Speed: 59, distance to destination: 151.000000, time to distance: 2.559322, ship type: tugboat, displacement: 6430
2685: This is a ship. Speed: 156, distance to destination: 1474.000000, time to distance: 9.448718, ship type: tugboat, displacement: 2810
2686: This is a plane. Speed: 119, distance to destination: 1830.000000, time to distance: 15.378151, maximum flight distance: 2858, capacity: 152
2687: 2688: This is a ship. Speed: 130, distance to destination: 537.000000, time to distance: 4.130769, ship type: tugboat, displacement: 21270
2689: This is a ship. Speed: 22, distance to destination: 1641.000000, time to distance: 74.590909, ship type: liner, displacement: 14152
2690: This is a plane. Speed: 174, distance to destination: 1962.000000, time to distance: 11.275862, maximum flight distance: 2855, capacity: 250
2691: This is a plane. Speed: 197, distance to destination: 1654.000000, time to distance: 8.395939, maximum flight distance: 3210, capacity: 234
2692: This is a plane. Speed: 187, distance to destination: 627.000000, time to distance: 3.352941, maximum flight distance: 3868, capacity: 235
2693: This is a plane. Speed: 42, distance to destination: 1048.000000, time to distance: 24.952381, maximum flight distance: 2197, capacity: 195
2694: This is a ship. Speed: 131, distance to destination: 741.000000, time to distance: 5.656489, ship type: liner, displacement: 31938
2695: This is a ship. Speed: 139, distance to destination: 827.000000, time to distance: 5.949640, ship type: tugboat, displacement: 16880
2696: This is a plane. Speed: 194, distance to destination: 1124.000000, time to distance: 5.793814, maximum flight distance: 3062, capacity: 108
2697: 2698: This is a ship. Speed: 182, distance to destination: 1709.000000, time to distance: 9.390110, ship type: tugboat, displacement: 4810
2699: 2700: This is a plane. Speed: 60, distance to destination: 655.000000, time to distance: 10.916667, maximum flight distance: 2802, capacity: 174
2701: This is a plane. Speed: 74, distance to destination: 1064.000000, time to distance: 14.378378, maximum flight distance: 3960, capacity: 168
2702: This is a plane. Speed: 100, distance to destination: 627.000000, time to distance: 6.270000, maximum flight distance: 2126, capacity: 163
2703: 2704: 2705: 2706: This is a ship. Speed: 32, distance to destination: 840.000000, time to distance: 26.250000, ship type: tugboat, displacement: 17744
2707: 2708: 2709: 2710: This is a ship. Speed: 140, distance to destination: 722.000000, time to distance: 5.157143, ship type: tanker, displacement: 32701
2711: This is a ship. Speed: 74, distance to destination: 794.000000, time to distance: 10.729730, ship type: tugboat, displacement: 33188
2712: This is a ship. Speed: 1, distance to destination: 1320.000000, time to distance: 1320.000000, ship type: liner, displacement: 21099
2713: This is a ship. Speed: 2, distance to destination: 939.000000, time to distance: 469.500000, ship type: liner, displacement: 5865
2714: This is a ship. Speed: 65, distance to destination: 125.000000, time to distance: 1.923077, ship type: liner, displacement: 7760
2715: This is a plane. Speed: 41, distance to destination: 73.000000, time to distance: 1.780488, maximum flight distance: 3814, capacity: 152
2716: 2717: This is a plane. Speed: 172, distance to destination: 1685.000000, time to distance: 9.796512, maximum flight distance: 3836, capacity: 294
2718: This is a plane. Speed: 141, distance to destination: 1886.000000, time to distance: 13.375887, maximum flight distance: 3396, capacity: 102
2719: 2720: This is a ship. Speed: 24, distance to destination: 643.000000, time to distance: 26.791667, ship type: liner, displacement: 1212
2721: 2722: This is a ship. Speed: 155, distance to destination: 34.000000, time to distance: 0.219355, ship type: liner, displacement: 31706
2723: 2724: This is a ship. Speed: 130, distance to destination: 1601.000000, time to distance: 12.315385, ship type: tanker, displacement: 4783
2725: This is a ship. Speed: 165, distance to destination: 103.000000, time to distance: 0.624242, ship type: liner, displacement: 25046
2726: This is a ship. Speed: 160, distance to destination: 374.000000, time to distance: 2.337500, ship type: tugboat, displacement: 18162
2727: 2728: 2729: This is a ship. Speed: 186, distance to destination: 1707.000000, time to distance: 9.177419, ship type: liner, displacement: 17116
2730: This is a plane. Speed: 75, distance to destination: 1064.000000, time to distance: 14.186667, maximum flight distance: 3761, capacity: 111
2731: 2732: This is a plane. Speed: 57, distance to destination: 1126.000000, time to distance: 19.754386, maximum flight distance: 2508, capacity: 126
2733: This is a plane. Speed: 42, distance to destination: 1533.000000, time to distance: 36.500000, maximum flight distance: 2429, capacity: 152
2734: 2735: 2736: This is a plane. Speed: 183, distance to destination: 1297.000000, time to distance: 7.087432, maximum flight distance: 2692, capacity: 104
2737: This is a plane. Speed: 8, distance to destination: 624.000000, time to distance: 78.000000, maximum flight distance: 3632, capacity: 129
2738: This is a plane. Speed: 110, distance to destination: 1222.000000, time to distance: 11.109091, maximum flight distance: 3862, capacity: 143
2739: 2740: 2741: 2742: This is a plane. Speed: 132, distance to destination: 491.000000, time to distance: 3.719697, maximum flight distance: 2924, capacity: 123
2743: This is a ship. Speed: 174, distance to destination: 648.000000, time to distance: 3.724138, ship type: tanker, displacement: 30064
2744: 2745: This is a ship. Speed: 46, distance to destination: 1640.000000, time to distance: 35.652174, ship type: tanker, displacement: 18150
2746: This is a ship. Speed: 8, distance to destination: 758.000000, time to distance: 94.750000, ship type: liner, displacement: 31338
2747: This is a plane. Speed: 130, distance to destination: 315.000000, time to distance: 2.423077, maximum flight distance: 2458, capacity: 284
2748: This is a plane. Speed: 132, distance to destination: 580.000000, time to distance: 4.393939, maximum flight distance: 3619, capacity: 212
2749: 2750: This is a ship. Speed: 98, distance to destination: 212.000000, time to distance: 2.163265, ship type: tanker, displacement: 19938
2751: This is a ship. Speed: 187, distance to destination: 1828.000000, time to distance: 9.775401, ship type: liner, displacement: 20670
2752: 2753: 2754: This is a ship. Speed: 162, distance to destination: 404.000000, time to distance: 2.493827, ship type: tugboat, displacement: 12863
2755: 2756: 2757: This is a plane. Speed: 126, distance to destination: 1765.000000, time to distance: 14.007937, maximum flight distance: 3818, capacity: 116
2758: This is a ship. Speed: 73, distance to destination: 1600.000000, time to distance: 21.917808, ship type: liner, displacement: 23505
2759: This is a plane. Speed: 83, distance to destination: 1435.000000, time to distance: 17.289157, maximum flight distance: 3373, capacity: 129
2760: This is a ship. Speed: 182, distance to destination: 303.000000, time to distance: 1.664835, ship type: tanker, displacement: 27137
2761: This is a ship. Speed: 68, distance to destination: 1253.000000, time to distance: 18.426471, ship type: tugboat, displacement: 9790
2762: This is a ship. Speed: 35, distance to destination: 1837.000000, time to distance: 52.485714, ship type: tugboat, displacement: 4610
2763: 2764: This is a plane. Speed: 160, distance to destination: 222.000000, time to distance: 1.387500, maximum flight distance: 3572, capacity: 258
2765: This is a plane. Speed: 53, distance to destination: 1279.000000, time to distance: 24.132075, maximum flight distance: 3154, capacity: 239
2766: 2767: 2768: This is a plane. Speed: 33, distance to destination: 1824.000000, time to distance: 55.272727, maximum flight distance: 3533, capacity: 196
2769: This is a plane. Speed: 151, distance to destination: 1814.000000, time to distance: 12.013245, maximum flight distance: 3238, capacity: 147
2770: 2771: 2772: This is a ship. Speed: 4, distance to destination: 1207.000000, time to distance: 301.750000, ship type: liner, displacement: 11213
